"","X","Y","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","DistNeigh"
"1",-59.481417,-1.895899,45.7111,"20/10/2022 21:10",NA,NA,"A000A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1791.88873027539
"2",-59.481832,-1.896043,45.28975,"20/10/2022 21:17",NA,NA,"A000A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1750.82611853797
"3",-59.482323,-1.896274,44.47369,"20/10/2022 21:20",NA,NA,"A000A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1697.40336884775
"4",-59.482725,-1.896485,44.38336,"20/10/2022 21:23",NA,NA,"A000A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1652.06118612917
"5",-59.483231,-1.896689,44.15781,"20/10/2022 21:27",NA,NA,"A000A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1601.00332150001
"6",-59.483752,-1.896954,43.77631,"20/10/2022 21:31",NA,NA,"A000A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1544.10040364471
"7",-59.688687,-1.608243,52.42561,"14/09/2022 19:54",NA,NA,"A001A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1646.22037609915
"8",-59.68917,-1.608204,51.94521,"14/09/2022 19:59",NA,NA,"A001A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1599.03260683837
"9",-59.68963,-1.608284,52.04209,"14/09/2022 20:04",NA,NA,"A001A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1548.91715984007
"10",-59.690085,-1.608287,51.38337,"14/09/2022 20:07",NA,NA,"A001A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1503.1565652196
"11",-59.690485,-1.608243,51.48706,"14/09/2022 20:11",NA,NA,"A001A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1465.53141842824
"12",-59.690958,-1.608348,50.77165,"14/09/2022 20:14",NA,NA,"A001A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1413.44351489409
"13",-59.77544,-1.766532,49.89257,"18/09/2022 15:32",NA,NA,"A002A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,21.5395031789541
"14",-59.775921,-1.766523,49.5717,"18/09/2022 15:37",NA,NA,"A002A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,53.1892649737719
"15",-59.776371,-1.766456,49.33,"18/09/2022 15:40",NA,NA,"A002A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,97.3928746349922
"16",-59.776842,-1.766259,49.00757,"18/09/2022 15:43",NA,NA,"A002A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,129.184730292074
"17",-59.777385,-1.766466,49.36242,"18/09/2022 15:46",NA,NA,"A002A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,74.6249879910771
"18",-59.777775,-1.766613,49.37622,"18/09/2022 15:48",NA,NA,"A002A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,52.4651374042299
