"Site","Season","Phase","spp001","spp002","spp003","spp004","spp005","spp006","spp007","spp008","spp009","spp010","spp011","spp012","spp013","spp014","spp015","spp016","spp017","spp018","spp019","spp020","spp021","spp022","spp023","spp024","spp025","spp026","spp027","spp028","spp029","spp030","spp031","spp032","spp033","spp034","spp035","spp036","spp037","spp038","spp039","spp040","spp041","spp042","spp043","spp044","spp045","spp046","spp047","spp048","spp049","spp050","spp051","spp052","spp053","spp054","spp055","spp056","spp057","spp058","spp059","spp060","spp061","spp062","spp063","spp064","spp065","spp066","spp067","spp068","spp069","spp070","spp071","spp072","spp073","spp074","spp075","spp076","spp077","spp078","spp079","spp080","spp081","spp082","spp083","spp084","spp085","spp086","spp087","spp088","spp089","spp090","spp091","spp092","spp093","spp094","spp095","spp096","spp097","spp098","spp099","spp100","spp101","spp102","spp103","spp104","spp105","spp106"
1,"Chuva","POST",0,0,0,0,0,0,0,0,0.1875,0,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.625,0,0,0,0,0,0,0,0.0625,0,0,0.03125,0,0.1875,0,0,0,0,0.78125,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.03125,0.59375,0,0,0,0,0,0,0,0,0.96875,0,0,0,0.15625,0,0.21875,0,0.03125,0,0,0,0,0.00025,0,0,0.625,0.6875,0,0,0,0
2,"Chuva","POST",0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Chuva","POST",0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Chuva","POST",0,0,0,0,0,0,0,0,0.28125,0.0625,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0.0625,1.6875,0,0,0,0,1.28125,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0.0625,0.375,0,0,0,0,0.03125,0,0,0,0.78125,0,0,0,0,0.03125,0.25,0,0,0,0,0,0,0,0,0,1.40625,0,0.03125,0,0,0
5,"Chuva","POST",0,0,0.125,0,0.166666666666667,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0833333333333333,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0.0833333333333333,0,0,0,0,0,0.0416666666666667,0,0,0,1.08333333333333,0,0,0,0,0.125,0.125,0,0,0.166666666666667,0,0,0,0.916666666666667,0,0,0.0416666666666667,0,0.0416666666666667,0,0,0
6,"Chuva","POST",0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
7,"Chuva","POST",0,0,0,0,0,0,0,0,0.25,0,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0.34375,0,0,0,0,0,0.15625,0,0,0.1875,0,0,0,0,0.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0.53125,0,0,0,0,0,0.03125,0,0,0,0,0,0,0.0625,0,0,1.1875,0.59375,0,0,0,0
8,"Chuva","POST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Chuva","POST",0,0,0,0,0,0,0,0,0,0,0.208333333333333,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0,0,0
10,"Chuva","POST",0,0,0,0,0,0,0,0,0.125,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.46875,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0.46875,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0,0,0,0.125,0,0,0,0,0,0,0.00025,0,0,0.15625,0.1875,0,0,0,0
