;Aca_cat;Aeq_tet;Ana_uro;Api_aga;Api_reg;Ast_bim;Bat_ran;Bra_bee;Bra_bre;Bra_sp.1;Bra_sp.2;Bra_sp.3;Bra_sp.4;Bry_cau;Bry_sp.;Bun_cor;Cal_cal;Car_str;Cha_eth;Cha_sp.;Cha_zeb;Cop_arn;Cor_mel;Cre_ret;Cre_sax;Cre_spi;Cur_cry;Den_epa;Den_sp.;Eig_sp.;Eig_tri;Far_ama;Gla_con;Gym_gca;Gym_gco;Gym_gpa;Gym_sp.;Hel_mar;Hem_bel;Hem_gei;Hem_oce;Hem_rho;Hem_rod;Hem_sp.;Hem_uni;Hop_mal;Hyp_ben;Hyp_het;Hyp_lep;Igu_rac;Itu_ama;Itu_sp.;Kno_vic;Lai_str;Mas_aso;Meg_tho;Mic_bil;Mic_wei;Moe_col;Moe_com;Mon_oli;Nan_nit;Nan_tae;Nan_tri;Pim_sp.;Pot_eig;Pyr_bre;Rha_mue;Rha_que;Rha_sp.;Rin_has;Sat_jur;Ste_mac;Syn_mar;Tet_wal;land_use
UA012;0;2;0;0;59;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;20;0;0;0;0;0;0;0;0;0;151;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;Forest
UA013;0;26;0;0;47;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;2;0;0;0;0;0;0;0;3;0;547;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;Forest
UA014;0;23;0;0;29;0;0;10;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;11;0;0;0;0;0;0;0;1;0;222;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;40;0;0;0;0;0;0;0;0;Forest
UA015;0;3;5;0;36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;18;3;0;42;0;0;0;0;0;0;0;0;0;19;0;33;6;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;Forest
UA016;0;3;11;0;107;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;14;0;0;2;0;0;0;0;0;0;15;0;0;13;74;0;18;0;0;0;0;1;0;101;0;72;2;0;0;0;0;0;1;13;0;0;1;0;0;13;1;0;16;0;0;0;0;0;1;0;1;Forest
UA017;0;0;4;0;0;0;0;0;0;0;33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;Forest
UA018;0;1;7;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;9;9;0;8;2;0;0;0;0;0;0;0;0;12;0;63;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;Forest
UA019;0;4;4;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;11;10;0;25;7;0;0;0;0;0;0;0;0;63;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;Forest
UA020;0;3;11;0;73;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;5;0;8;0;0;0;0;0;0;0;0;0;263;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;Forest
UA021;0;2;2;0;12;0;0;0;0;0;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;23;0;0;0;0;0;0;0;0;0;121;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;Forest
