;sp1;sp2;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41;sp42;sp43;sp44;sp45;sp46;sp47;sp48;sp49;sp50;sp51;sp52;sp53;sp54;sp55;sp56;sp57;sp58;sp59;sp60;sp61;sp62;sp63;sp64;sp65;sp66;sp67;sp68;sp69;sp70;sp71;sp72;sp73;sp74;sp75;sp76;sp77;sp78;sp79;sp80;sp81;sp82;sp83;sp84;sp85;sp86;sp87;sp88;sp89;sp90;sp91;sp92;sp93;sp94;sp95;sp96;sp97;Tratamento 
PC01_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11030.88;0;0;0;0;0;1838.48;0;0;0;0;0;0;0;1838.48;0;0;0;0;0;0;0;0;0;1838.48;0;0;0;0;0;0;0;0;0;11030.88;0;0;0;0;0;0;0;0;0;0;0;0;110308.82;0;0;110308.82;0;0;0;0;0;0;0;0;0;0;0;183848.04;0;0;0;1838.48;7353.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Controle
PC06_1;0;0;0;0;0;0;0;19855.59;0;0;0;0;0;0;0;0;0;33092.65;66185.29;0;0;0;26474.12;26474.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6618.53;0;13237.06;6618.53;0;0;0;0;0;0;2206.18;0;0;0;6618.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92659.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Controle
PC07_1;0;0;0;33092.65;0;0;44123.53;0;0;0;0;0;0;0;0;0;0;0;0;33092.65;0;2206.18;0;0;8824.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88247.06;0;0;0;13237.06;0;0;0;0;0;0;0;0;0;0;0;0;220617.65;0;0;22061.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2206.18;0;0;0;0;0;0;0;0;0;0;0;22061.76;0;0;22061.76;0;0;Controle
PC06_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1844.172302;0;542.4036182;216.9614473;1301.768684;433.9228946;0;5749.478353;1301.768684;0;0;0;0;0;0;0;0;542.4036182;0;867.8457892;0;0;433.9228946;216.9614473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4339.228946;0;0;0;0;0;0;108.4807236;0;0;0;0;108.4807236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Controle
PC07_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1035.291369;0;312.5407907;0;253.9393924;0;0;0;214.8717936;0;0;0;0;0;0;0;0;253.9393924;0;312.5407907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.33306799;0;0;0;0;0;0;0;0;0;0;0;Controle
PC08_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236.1649419;0;272.4980099;0;1108.158574;1344.323515;0;1834.819933;18.16653399;0;0;0;0;0;0;0;0;290.6645439;0;308.8310779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.33306799;0;0;0;0;108.999204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Controle
PC09_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9621.776196;0;11102.04946;0;37376.89984;4070.751468;0;14432.66429;6291.161359;2590.478207;0;0;0;0;0;0;0;16653.07419;0;12582.32272;0;0;4440.819783;9991.844511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110.204946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Controle
PM04_1;0;0;0;0;0;0;0;0;19855.59;0;0;0;0;0;0;0;0;0;24267.94;0;29837.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4412.35;0;0;0;0;0;0;0;0;0;0;8824.71;0;0;0;0;4412.35;4412.35;0;0;0;0;83834.71;0;0;0;136782.94;8824.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;direto
PM05_1;0;14182.56;0;0;0;9455.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9455.04;0;0;0;0;1575.84;28365.13;9455.04;0;14182.56;0;0;0;4727.52;0;0;0;0;6303.36;0;0;0;4727.52;0;9455.04;0;0;0;4727.52;9455.04;0;4727.52;0;4727.52;9455.04;0;56730.25;23637.61;0;0;0;0;37820.17;0;0;42547.69;0;0;15758.4;0;0;23637.61;0;0;4727.52;6303.36;4727.52;0;0;0;0;0;0;3151.68;9455.04;0;0;0;direto
PM05_3;0;0;0;0;281.9496726;93.9832242;0;0;0;93.9832242;93.9832242;0;0;0;3383.396071;0;93.9832242;0;0;0;0;0;0;0;0;0;0;0;9680.272092;10338.15466;2537.547053;939.832242;2161.614157;0;0;0;0;657.8825694;0;0;0;0;0;281.9496726;93.9832242;187.9664484;0;0;0;0;93.9832242;0;0;0;93.9832242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.9832242;0;0;0;93.9832242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;direto
