;Alk;BOD;Phos;Nitg;Amm;pH;OD;Alum;Iron ;IIH_total;floresta;regeneracao_floresta;solo_exposto;urbano;mineracao;Tratamento
PC01_1;8;99.68;0.15;0.7;0.09;5.39;8.62;0.054;0.18;0.791666667;81.78;0;18.22;0.00;0.00;Controle
PC06_1;6;64.19;0.21;0.4;0.33;5.38;7.6;0.048;0.11;0.719444444;17.59;82.41;0.00;0.00;0.00;Controle
PC07_1;2;4.3;0.1;0.3;0.4;5.39;8.62;0.068;0.02;0.763888889;84.99;0.00;15.01;0.00;0.00;Controle
PC06_2;14;8.7;0.02;0.4;0.16;7.58;7.18;0.03;0.09;0.719444444;17.59;82.41;0.00;0.00;0.00;Controle
PC07_2;16;18.3;0.02;0.31;0.37;6.84;6.5;0.012;0;0.763888889;84.99;0.00;15.01;0.00;0.00;Controle
PC08_2;12;33.46;0.03;0.5;0.11;7.435;6.715;0.031;0.28;0.823611111;58.82;41.18;0.00;0.00;0.00;Controle
PC09_2;10;33.46;0.02;0.4;0.19;6.87;6.3;0.002;0.09;0.626388889;68.36;25.85;5.80;0.00;0.00;Controle
PM04_1;6;30.87;0.02;0.3;0.45;5.3;6.115;0.003;0.57;0.290277778;33.16;44.39;0.00;22.45;0.00;direto
PM05_1;6;53.99;0.14;1.2;0.41;5.95;3.67;0.033;0.02;0.141666667;100.00;0;0.00;0;0;direto
PM05_3;16;102;0.01;0.7;0.34;6.83;6.48;0.036;0.06;0.791666667;100.00;0;0.00;0;0;direto
PM01_2;14;66.64;0.01;0.1;0.36;7.14;5.5;0.021;0.12;0.511111111;99.74;0.00;0.00;0.00;0.26;direto
PM02_2;18;33.87;0.02;0.5;0.25;7;7.18;0.061;0.19;0.545833333;100.00;0.00;0.00;0.00;0.00;direto
PM05_2;10;72.76;0.18;0.3;0.33;4.98;7.52;0.015;0.19;0.141666667;11.25;38.24;0.00;38.65;0.00;direto
PC05_1;4;53.99;0.11;0.7;0.009;5.21;8.26;0.0135;0.65;0.420833333;100.00;0.00;0.00;0.00;0.00;direto
PC03_2;16;98.46;0.02;0.4;0.23;7.29;6.25;0.021;0.19;0.515277778;13.19;50.99;0.00;0.00;35.82;direto
PC03_3;8;53.04;0.03;0.7;0.35;5.15;3.62;0.006;1.11;0.515277778;13.19;50.99;0.00;0.00;35.82;direto
PC05_3;22;26.52;0.01;0.7;0.48;5.54;3.46;0.0135;65;0.420833333;100.00;0.00;0.00;0.00;0.00;direto
